sessionID,page_name,customerID,ageCategory,gender,date,qtheme,qsubtheme,qtopic
31276103,taken,1170218, 40-49, M, 2015-09-02, 41, 28370, 28460
29687625,mijn_berichten,2024531, 18-29, M, 2015-08-26, 41, 28380, 28898
14143796,taken,1928524, 40-49, M, 2015-08-31, 41, 28377, 28503
5977596,wijziging_doorgeven,2018842, 50-65, V, 2015-08-25, 41, 28375, 7778
24071002,home,1400900, 18-29, M, 2015-09-01, 25658, 25518, 25572
22446824,mijn_bewijs_van_inschrijving,1744060, 18-29, V, 2015-08-25, 41, 28379, 28452
3080617,mijn_werkmap,1243293, 40-49, V, 2015-09-02, 41, 20315, 5927
1588652,mijn_online_trainingen,2017668, 40-49, V, 2015-09-01, 41, 28379, 28853
17102951,foutopgetreden.html,2044609, 18-29, M, 2015-09-01, 25658, 25624, 26786
7132793,home,2033716, 50-65, V, 2015-09-02, 41, 11479, 26282
4449938,taken,1703862, 40-49, M, 2015-08-19, 41, 15159, 11672
30053314,mijn_bewijs_van_inschrijving,2004380, 50-65, V, 2015-08-18, 41, 1784, 27730
26649377,mijn_berichten,918608, 30-39, V, 2015-08-24, 41, 28369, 28548
26649377,mijn_berichten,918608, 30-39, V, 2015-08-24, 41, 28369, 28548
26649377,mijn_berichten,918608, 30-39, V, 2015-08-24, 41, 28369, 28548
26251978,mijn_online_trainingen,2050997, 40-49, V, 2015-08-25, 41, 10217, 25962
23063206,mijn_bewijs_van_inschrijving,2031939, 40-49, M, 2015-09-02, 41, 28379, 28521
30053314,mijn_bewijs_van_inschrijving,2004380, 50-65, V, 2015-08-18, 41, 1784, 7760
18069178,wijziging_doorgeven,2006634, 50-65, V, 2015-08-17, 41, 11476, 5623
30053314,mijn_bewijs_van_inschrijving,2004380, 50-65, V, 2015-09-01, 41, 28379, 28974
29687625,mijn_berichten,2024531, 18-29, M, 2015-08-26, 41, 28370, 22167
26251978,mijn_online_trainingen,2050997, 40-49, V, 2015-08-25, 41, 28381, 28216
30211751,taken,642291, 50-65, M, 2015-08-24, 41, 11130, 28485
12681496,taken,2014479, 30-39, M, 2015-08-18, 23066, 26241, 7094
30053314,mijn_bewijs_van_inschrijving,2004380, 50-65, V, 2015-08-18, 41, 1784, 28035
3830062,wijziging_doorgeven,733479, 30-39, M, 2015-08-19, 41, 28377, 28503
23861646,inschrijven,1275546, 18-29, V, 2015-07-06, 41, 20327, 27687
3122498,mijn_online_trainingen,519658, 18-29, M, 2015-08-27, 41, 28369, 28548
22847366,home,2062283, 30-39, M, 2015-09-01, 23066, 10775, 19761
12681496,taken,2014479, 30-39, M, 2015-08-18, 23066, 20323, 7095
23340298,inschrijven,2022250, 40-49, V, 2015-07-09, 41, 11480, 28185
18386471,inschrijven,8014, 40-49, M, 2015-08-31, 31, 1103, 8007
23599283,inschrijven,2031383, 40-49, M, 2015-09-02, 26951, 10293, 27170
1632239,taken,943429, 18-29, V, 2015-09-02, 41, 10217, 25962
2504757,foutopgetreden.html,2032406, 50-65, V, 2015-08-20, 41, 28375, 7760
16194385,mijn_berichten,1949533, 40-49, M, 2015-08-25, 41, 28379, 28452
1588652,mijn_online_trainingen,2017668, 40-49, V, 2015-09-01, 41, 28379, 29015
24195520,mijn_bewijs_van_inschrijving,2039418, 18-29, V, 2015-09-02, 41, 28380, 10567
11445262,foutopgetreden.html,2027740, 50-65, V, 2015-08-25, 41, 28379, 28946
3830062,wijziging_doorgeven,733479, 30-39, M, 2015-08-24, 41, 28377, 10585
21840560,taken,1270898, 30-39, V, 2015-08-24, 41, 28379, 28452
21840560,taken,1270898, 30-39, V, 2015-08-24, 41, 28379, 28452
20734348,mijn_online_trainingen,2014537, 30-39, V, 2015-08-25, 41, 28379, 28827
20734348,mijn_online_trainingen,2014537, 30-39, V, 2015-08-25, 41, 28379, 28946
7108291,taken,217783, 50-65, V, 2015-08-27, 41, 28377, 28503
31276103,taken,1170218, 40-49, M, 2015-09-02, 41, 20314, 5670
22227865,wijziging_doorgeven,2029744, 50-65, V, 2015-08-19, 41, 20327, 27688
22227865,mijn_berichten,2029744, 50-65, V, 2015-08-19, 41, 20327, 27688
3830062,wijziging_doorgeven,733479, 30-39, M, 2015-08-19, 41, 28379, 28521
4449938,taken,1703862, 40-49, M, 2015-08-19, 41, 28379, 28974
4531841,mijn_werkmap,1595097, 50-65, M, 2015-08-24, 41, 10217, 25962
15751521,inschrijven,2017926, 40-49, V, 2015-07-06, 41, 28379, 28518
41808754,mijn_online_trainingen,2192071, 40-49, V, 2016-01-07, 25658, 25518, 25572
18069178,wijziging_doorgeven,2006634, 50-65, V, 2015-08-17, 41, 11476, 26062
26649377,mijn_berichten,918608, 30-39, V, 2015-08-26, 41, 28369, 28548
26649377,mijn_berichten,918608, 30-39, V, 2015-08-26, 41, 28369, 28548
26649377,mijn_berichten,918608, 30-39, V, 2015-08-26, 41, 28369, 28548
6546528,mijn_bewijs_van_inschrijving,1666429, 50-65, M, 2015-08-24, 41, 28370, 28460
7108291,taken,217783, 50-65, V, 2015-08-20, 41, 15159, 10585
17340606,taken,1681059, 50-65, M, 2015-09-02, 41, 22992, 9321
8100282,home,2047418, 50-65, M, 2015-09-02, 41, 28379, 28450
8100282,home,2047418, 50-65, M, 2015-09-02, 41, 28379, 28450
15751521,inschrijven,2017926, 40-49, V, 2015-07-06, 41, 20315, 23343
20834432,inschrijven,1873301, 30-39, M, 2015-08-31, 41, 28379, 28450
27663841,mijn_online_trainingen,2020506, 18-29, M, 2015-08-31, 41, 28372, 28425
22847366,home,2062283, 30-39, M, 2015-09-01, 41, 28379, 28444
1632239,taken,943429, 18-29, V, 2015-09-02, 41, 28380, 10095
5977596,wijziging_doorgeven,2018842, 50-65, V, 2015-08-25, 41, 28375, 27731
5610772,mijn_online_trainingen,525401, 30-39, V, 2015-09-01, 41, 20312, 11529
4449938,taken,1703862, 40-49, M, 2015-08-18, 41, 15159, 11672
30053314,mijn_bewijs_van_inschrijving,2004380, 50-65, V, 2015-08-18, 41, 1784, 7773
2504757,foutopgetreden.html,2032406, 50-65, V, 2015-08-20, 41, 28379, 28946
14772831,foutopgetreden.html,1707397, 30-39, M, 2015-09-02, 41, 22992, 24762
4953395,mijn_werkmap,2050718, 40-49, V, 2015-08-27, 41, 28379, 28946
8263337,taken,2025471, 30-39, V, 2015-08-26, 41, 28379, 28946
19830914,taken,2016747, 30-39, M, 2015-07-27, 41, 28377, 28503
12837090,mijn_berichten,1991926, 50-65, V, 2015-08-31, 41, 1229, 13552
24195520,mijn_bewijs_van_inschrijving,2039418, 18-29, V, 2015-09-02, 41, 28379, 29015
16834085,wijziging_doorgeven,1244572, 18-29, V, 2015-09-02, 41, 28379, 28452
3978201,mijn_online_trainingen,2049283, 30-39, V, 2015-08-31, 41, 28379, 28452
28997955,mijn_berichten,1759685, 40-49, M, 2015-08-31, 41, 28379, 28452
2504757,foutopgetreden.html,2032406, 50-65, V, 2015-08-27, 41, 28379, 28452
24875533,taken,2038026, 18-29, V, 2015-08-24, 41, 28377, 28704
24467399,taken,2021785, 30-39, M, 2015-09-02, 41, 28379, 28853
24467399,taken,2021785, 30-39, M, 2015-09-02, 41, 28379, 28853
23063206,mijn_bewijs_van_inschrijving,2031939, 40-49, M, 2015-09-02, 41, 28861, 5789
16163711,wijziging_doorgeven,1473516, 18-29, M, 2015-09-02, 25658, 26899, 25386
24875533,taken,2038026, 18-29, V, 2015-08-24, 41, 28379, 28521
24875533,taken,2038026, 18-29, V, 2015-08-25, 41, 28379, 28521
15596034,taken,1568475, 40-49, M, 2015-08-27, 41, 10217, 25962
4906279,inschrijven,1205494, 30-39, M, 2015-08-24, 31, 1104, 5240
4906279,inschrijven,1205494, 30-39, M, 2015-08-24, 31, 1104, 5240
4906279,inschrijven,1205494, 30-39, M, 2015-08-24, 31, 1104, 5240
4906279,inschrijven,1205494, 30-39, M, 2015-08-24, 41, 28379, 28518
4906279,inschrijven,1205494, 30-39, M, 2015-08-24, 41, 28379, 28518
4906279,inschrijven,1205494, 30-39, M, 2015-08-24, 41, 28379, 28518
15857976,mijn_werkmap,1077924, 40-49, M, 2015-07-10, 41, 28379, 28518
16834085,wijziging_doorgeven,1244572, 18-29, V, 2015-09-02, 41, 10217, 25962
31276103,taken,1170218, 40-49, M, 2015-09-02, 41, 28379, 29005
7132793,home,2033716, 50-65, V, 2015-09-02, 41, 28379, 28947
24467399,taken,2021785, 30-39, M, 2015-09-02, 41, 28379, 29015
24467399,taken,2021785, 30-39, M, 2015-09-02, 41, 28379, 29015
26251978,mijn_online_trainingen,2050997, 40-49, V, 2015-08-25, 41, 28379, 28946
12837090,mijn_berichten,1991926, 50-65, V, 2015-08-31, 41, 28368, 27687
29145420,inschrijven,2036866, 40-49, V, 2015-07-15, 41, 20315, 5790
15596034,taken,1568475, 40-49, M, 2015-08-31, 41, 1275, 9423
18431621,mijn_online_trainingen,1027108, 30-39, M, 2015-07-14, 41, 20314, 5670
4906279,inschrijven,1205494, 30-39, M, 2015-08-24, 41, 28379, 28946
4906279,inschrijven,1205494, 30-39, M, 2015-08-24, 41, 28379, 28946
4906279,inschrijven,1205494, 30-39, M, 2015-08-24, 41, 28379, 28946
23317689,taken,2039407, 40-49, V, 2015-08-31, 41, 9838, 9842
1632239,taken,943429, 18-29, V, 2015-09-02, 41, 10217, 25962
16592364,mijn_berichten,219423, 30-39, M, 2015-09-02, 41, 28379, 29014
3306701,inschrijven,2027247, 18-29, V, 2015-08-21, 41, 28379, 28945
26649377,mijn_berichten,918608, 30-39, V, 2015-07-21, 41, 28368, 27687
26649377,mijn_berichten,918608, 30-39, V, 2015-07-21, 41, 28368, 27687
26649377,mijn_berichten,918608, 30-39, V, 2015-07-21, 41, 28368, 27687
15825649,taken,1222022, 18-29, V, 2015-08-21, 41, 1265, 23161
27663841,mijn_online_trainingen,2020506, 18-29, M, 2015-08-31, 41, 28378, 5574
7108291,taken,217783, 50-65, V, 2015-08-27, 41, 15159, 10585
15531124,mijn_online_trainingen,2060292, 40-49, M, 2015-11-01, 41, 28379, 29014
278180,mijn_berichten,2014873, 40-49, M, 2015-08-25, 41, 28377, 28704
27213692,mijn_berichten,2087796, 50-65, M, 2015-10-30, 41, 28379, 28452
4906279,inschrijven,1205494, 30-39, M, 2015-08-31, 41, 28379, 28452
4906279,inschrijven,1205494, 30-39, M, 2015-08-31, 41, 28379, 28452
4906279,inschrijven,1205494, 30-39, M, 2015-08-31, 41, 28379, 28452
20834432,inschrijven,1873301, 30-39, M, 2015-08-31, 41, 28378, 5564
12766889,home,2049758, 18-29, M, 2015-09-01, 41, 11130, 28487
6546528,mijn_bewijs_van_inschrijving,1666429, 50-65, M, 2015-08-24, 41, 28378, 28476
