CITYPE,CISUBTYPE,SERVCOMP,IMPACT,URGENCY,TEAM,TIMESTAMP,INTERACTIONID,INCIDENTID
subapplication,Web Based Application,WBS000162,4,4,TEAM0003,5/02/2012 13:26,SD0000007,IM0000004
application,Web Based Application,WBS000088,3,3,TEAM0003,12/03/2012 15:35,SD0000011,IM0000005
application,Web Based Application,WBS000088,4,4,TEAM0003,17/07/2012 11:45,SD0000025,IM0000011
application,Web Based Application,WBS000088,4,4,TEAM0003,22/08/2012 16:25,SD0000034,IM0000015
application,Web Based Application,WBS000088,4,4,TEAM0003,21/09/2012 12:54,SD0000040,IM0000019
application,Web Based Application,WBS000088,4,4,TEAM0003,1/10/2012 10:44,SD0000042,IM0000020
application,Web Based Application,WBS000055,4,4,TEAM0003,23/10/2012 11:50,SD0000046,IM0000024
subapplication,Web Based Application,WBS000073,4,4,TEAM0007,21/11/2012 11:41,SD0000053,IM0000028
subapplication,Web Based Application,WBS000066,4,4,TEAM0004,5/12/2012 15:13,SD0000055,IM0000031
application,Web Based Application,WBS000088,4,4,TEAM0003,24/12/2012 16:23,SD0000058,IM0000035
application,Web Based Application,WBS000066,4,4,TEAM0003,15/01/2013 15:27,SD0000063,IM0000038
application,Web Based Application,WBS000055,4,4,TEAM0003,4/02/2013 14:30,SD0000074,IM0000047
application,Web Based Application,WBS000088,4,4,TEAM0003,26/02/2013 16:40,SD0000085,IM0000058
subapplication,Web Based Application,WBS000162,4,4,TEAM0003,4/03/2013 12:19,SD0000087,IM0000062
application,Web Based Application,WBS000088,4,4,TEAM0003,5/03/2013 13:55,SD0000090,IM0000064
subapplication,Web Based Application,WBS000162,4,4,TEAM0003,12/03/2013 9:51,SD0000093,IM0000068
application,Web Based Application,WBS000088,4,4,TEAM0003,15/03/2013 15:18,SD0000096,IM0000071
application,Web Based Application,WBS000055,4,4,TEAM0003,10/04/2013 13:05,SD0000108,IM0000084
application,Web Based Application,WBS000088,3,4,TEAM0003,10/04/2013 15:09,SD0000109,IM0000085
application,Server Based Application,WBS000014,4,4,TEAM0042,17/04/2013 14:28,SD0000114,IM0000091
application,Server Based Application,WBS000043,3,3,TEAM0015,25/04/2013 10:18,SD0000125,IM0000099
application,Web Based Application,WBS000088,4,4,TEAM0003,26/04/2013 15:26,SD0000129,IM0000103
application,Server Based Application,WBS000086,4,4,TEAM0029,7/05/2013 11:22,SD0000138,IM0000110
application,Web Based Application,WBS000088,4,4,TEAM0003,22/05/2013 10:07,SD0000150,IM0000121
application,Web Based Application,WBS000088,4,4,TEAM0003,22/05/2013 14:14,SD0000153,IM0000124
application,Server Based Application,WBS000311,3,3,TEAM0056,22/05/2013 14:23,SD0000152,IM0000125
application,Web Based Application,WBS000088,4,4,TEAM0003,23/05/2013 14:30,SD0000155,IM0000126
subapplication,Web Based Application,WBS000162,4,4,TEAM0003,27/05/2013 15:27,SD0000157,IM0000130
application,Web Based Application,WBS000055,3,3,TEAM0003,31/05/2013 9:02,SD0000162,IM0000134
application,Web Based Application,WBS000055,4,4,TEAM0003,4/06/2013 9:20,SD0000164,IM0000136
application,Web Based Application,WBS000088,4,4,TEAM0003,4/06/2013 9:55,SD0000165,IM0000137
application,Web Based Application,WBS000088,4,4,TEAM0023,10/06/2013 16:37,SD0000176,IM0000148
application,Server Based Application,WBS000043,3,3,TEAM0015,11/06/2013 16:15,SD0000177,IM0000151
application,Web Based Application,WBS000088,4,4,TEAM0003,12/06/2013 14:46,SD0000179,IM0000153
application,Web Based Application,WBS000055,4,4,TEAM0003,17/06/2013 14:39,SD0000186,IM0000159
application,Web Based Application,WBS000088,4,4,TEAM0003,24/06/2013 14:34,SD0000192,IM0000166
application,Web Based Application,WBS000088,4,4,TEAM0003,26/06/2013 11:32,SD0000194,IM0000167
subapplication,Web Based Application,WBS000162,4,4,TEAM0003,27/06/2013 10:11,SD0000198,IM0000171
application,Server Based Application,WBS000170,5,5,TEAM0041,28/06/2013 8:41,SD0000203,IM0000174
application,Web Based Application,WBS000088,4,4,TEAM0003,28/06/2013 9:08,SD0000202,IM0000175
application,Web Based Application,WBS000088,4,4,TEAM0003,1/07/2013 11:24,SD0000205,IM0000177
application,Web Based Application,WBS000088,4,4,TEAM0003,1/07/2013 14:16,SD0000206,IM0000178
subapplication,Web Based Application,WBS000066,5,5,TEAM0003,4/07/2013 10:00,SD0000211,IM0000182
application,Standard Application,WBS000066,3,3,TEAM0003,8/07/2013 9:11,SD0000215,IM0000185
application,Standard Application,WBS000066,3,3,TEAM0003,8/07/2013 9:41,SD0000216,IM0000186
application,Server Based Application,WBS000043,3,3,TEAM0046,9/07/2013 16:12,SD0000223,IM0000193
application,Web Based Application,WBS000088,4,4,TEAM0003,11/07/2013 9:26,SD0000226,IM0000196
application,Web Based Application,WBS000088,3,3,TEAM0003,11/07/2013 11:53,SD0000229,IM0000200
subapplication,Web Based Application,WBS000162,4,4,TEAM0003,11/07/2013 15:12,SD0000230,IM0000201
application,Server Based Application,WBS000043,3,1,TEAM0046,12/07/2013 8:12,SD0000232,IM0000204
application,Server Based Application,WBS000043,3,3,TEAM0046,12/07/2013 9:06,SD0000233,IM0000205
application,Web Based Application,WBS000055,3,3,TEAM0003,12/07/2013 14:02,SD0000236,IM0000206
application,Web Based Application,WBS000088,4,4,TEAM0023,15/07/2013 8:59,SD0000238,IM0000209
application,Web Based Application,WBS000055,4,4,TEAM0003,15/07/2013 14:19,SD0000241,IM0000213
application,Server Based Application,WBS000043,3,3,TEAM0046,16/07/2013 16:11,SD0000254,IM0000219
subapplication,Web Based Application,WBS000162,4,4,TEAM0023,23/07/2013 9:45,SD0000269,IM0000231
application,Web Based Application,WBS000088,4,4,TEAM0003,23/07/2013 10:08,SD0000270,IM0000232
application,Server Based Application,WBS000043,3,3,TEAM0046,23/07/2013 11:46,SD0000272,IM0000234
application,Web Based Application,WBS000088,4,4,TEAM0003,23/07/2013 13:47,SD0000273,IM0000235
application,Web Based Application,WBS000088,4,4,TEAM0003,26/07/2013 9:50,SD0000287,IM0000240
application,Web Based Application,WBS000088,4,4,TEAM0023,26/07/2013 13:03,SD0000289,IM0000241
application,Client Based Application,WBS000073,5,5,TEAM0007,29/07/2013 16:51,SD0000297,IM0000248
application,Server Based Application,WBS000296,5,5,TEAM0093,30/07/2013 13:29,SD0000301,IM0000251
application,Server Based Application,WBS000296,4,4,TEAM0093,30/07/2013 14:15,SD0000302,IM0000253
application,SAP,WBS000271,5,5,TEAM0028,5/08/2013 10:50,SD0000318,IM0000259
application,SAP,WBS000271,5,5,TEAM0015,6/08/2013 8:16,SD0000325,IM0000262
application,Web Based Application,WBS000088,4,4,TEAM0003,6/08/2013 9:19,SD0000326,IM0000263
application,Web Based Application,WBS000088,4,4,TEAM0003,7/08/2013 9:34,SD0000333,IM0000267
application,Web Based Application,WBS000088,4,4,TEAM0003,7/08/2013 13:29,SD0000334,IM0000269
application,Web Based Application,WBS000088,4,4,TEAM0003,7/08/2013 14:30,SD0000336,IM0000271
application,Web Based Application,WBS000088,4,4,TEAM0003,7/08/2013 14:32,SD0000337,IM0000270
application,Web Based Application,WBS000055,4,4,TEAM0003,7/08/2013 15:46,SD0000338,IM0000272
application,Server Based Application,WBS000312,3,3,TEAM0056,9/08/2013 11:44,SD0000347,IM0000281
subapplication,Server Based Application,WBS000162,4,4,TEAM0003,12/08/2013 10:11,SD0000352,IM0000283
application,Web Based Application,WBS000088,4,4,TEAM0003,13/08/2013 9:52,SD0000361,IM0000288
application,Web Based Application,WBS000088,3,3,TEAM0003,16/08/2013 9:05,SD0000447,IM0000298
application,Web Based Application,WBS000088,4,4,TEAM0003,19/08/2013 9:42,SD0000455,IM0000300
application,Server Based Application,WBS000300,3,3,TEAM0003,19/08/2013 14:11,SD0000459,IM0000301
application,Web Based Application,WBS000168,5,5,TEAM0069,19/08/2013 16:13,SD0000462,IM0000304
application,Web Based Application,WBS000088,4,4,TEAM0003,21/08/2013 9:18,SD0000482,IM0000311
application,Server Based Application,WBS000300,3,3,TEAM0058,21/08/2013 12:12,SD0000484,IM0000313
application,Web Based Application,WBS000073,4,4,TEAM0057,21/08/2013 13:06,SD0000488,IM0000314
application,Web Based Application,WBS000055,3,3,TEAM0003,22/08/2013 12:56,SD0000489,IM0000316
application,Web Based Application,WBS000088,4,4,TEAM0003,23/08/2013 11:33,SD0000496,IM0000318
application,Web Based Application,WBS000088,4,4,TEAM0003,23/08/2013 11:40,SD0000497,IM0000319
computer,Windows Server,WBS000102,4,4,TEAM0065,26/08/2013 13:43,SD0000503,IM0000329
application,Web Based Application,WBS000073,5,5,TEAM0023,26/08/2013 14:52,SD0000510,IM0000327
application,SAP,WBS000271,5,5,TEAM0015,27/08/2013 12:30,SD0000515,IM0000337
application,Web Based Application,WBS000088,4,4,TEAM0003,28/08/2013 11:56,SD0000531,IM0000345
computer,Laptop,WBS000091,5,5,TEAM0008,29/08/2013 12:48,SD0000541,IM0000347
application,Server Based Application,WBS000073,4,4,TEAM0031,30/08/2013 8:34,SD0000544,IM0000351
application,Standard Application,WBS000066,4,4,TEAM0008,30/08/2013 8:52,SD0000545,IM0000354
application,SAP,WBS000271,5,5,TEAM0015,30/08/2013 13:42,SD0000549,IM0000356
application,Server Based Application,WBS000296,5,5,TEAM0093,2/09/2013 13:39,SD0000559,IM0000367
subapplication,Web Based Application,WBS000162,4,4,TEAM0003,2/09/2013 14:35,SD0000561,IM0000371
computer,Laptop,WBS000091,5,5,TEAM0086,2/09/2013 15:46,SD0000566,IM0000374
application,Web Based Application,WBS000088,5,5,TEAM0008,3/09/2013 8:17,SD0000570,IM0000373
application,Web Based Application,WBS000088,4,4,TEAM0003,3/09/2013 16:36,SD0000578,IM0000383
no type,no subtype,WBS000118,5,5,TEAM0075,4/09/2013 11:37,SD0000582,IM0000385
subapplication,Web Based Application,WBS000066,5,5,TEAM0003,5/09/2013 10:24,SD0000589,IM0000392
application,Server Based Application,WBS000073,4,4,TEAM0040,6/09/2013 14:35,SD0000607,IM0000409
application,Desktop Application,WBS000092,5,5,TEAM0008,9/09/2013 12:40,SD0000619,IM0000422
application,Server Based Application,WBS000073,4,4,TEAM0031,9/09/2013 13:08,SD0000621,IM0000421
displaydevice,Monitor,WBS000091,4,4,TEAM0008,10/09/2013 8:31,SD0000633,IM0000426
application,Web Based Application,WBS000088,4,4,TEAM0003,10/09/2013 11:06,SD0000637,IM0000431
application,Web Based Application,WBS000088,4,4,TEAM0004,10/09/2013 13:03,SD0000643,IM0000433
application,Web Based Application,WBS000088,4,4,TEAM0003,10/09/2013 13:43,SD0000644,IM0000434
application,Web Based Application,WBS000088,4,4,TEAM0003,10/09/2013 14:17,SD0000649,IM0000444
application,Web Based Application,WBS000088,4,4,TEAM0003,10/09/2013 15:39,SD0000650,IM0000445
application,Web Based Application,WBS000088,4,4,TEAM0003,11/09/2013 9:35,SD0000653,IM0000450
application,Server Based Application,WBS000263,4,4,TEAM0015,11/09/2013 10:07,SD0000655,IM0000447
application,Web Based Application,WBS000088,4,4,TEAM0003,11/09/2013 11:02,SD0000654,IM0000451
application,Server Based Application,WBS000014,3,3,TEAM0042,11/09/2013 11:20,SD0000658,IM0000459
application,Server Based Application,WBS000072,5,5,TEAM0015,11/09/2013 11:27,SD0000660,IM0000454
storage,SAN,WBS000128,5,5,TEAM0049,11/09/2013 11:31,SD0000667,IM0000449
application,Web Based Application,WBS000088,4,4,TEAM0003,11/09/2013 11:39,SD0000665,IM0000460
application,Server Based Application,WBS000067,4,4,TEAM0003,11/09/2013 12:37,SD0000662,IM0000456
application,Web Based Application,WBS000088,4,4,TEAM0003,11/09/2013 12:38,SD0000663,IM0000455
application,Web Based Application,WBS000088,4,4,TEAM0003,11/09/2013 13:04,SD0000666,IM0000461
application,Web Based Application,WBS000055,4,4,TEAM0003,11/09/2013 13:53,SD0000664,IM0000471
application,Server Based Application,WBS000072,5,5,TEAM0017,11/09/2013 15:35,SD0000675,IM0000472
application,Server Based Application,WBS000016,3,3,TEAM0102,11/09/2013 16:02,SD0000678,IM0000474
subapplication,Web Based Application,WBS000073,4,4,TEAM0045,12/09/2013 11:53,SD0000690,IM0000486
application,Web Based Application,WBS000088,4,4,TEAM0003,12/09/2013 12:50,SD0000689,IM0000492
application,Web Based Application,WBS000073,4,4,TEAM0045,12/09/2013 16:23,SD0000698,IM0000496
application,Server Based Application,WBS000300,3,3,TEAM0056,12/09/2013 16:56,SD0000695,IM0000498
application,Server Based Application,WBS000263,4,4,TEAM0016,13/09/2013 8:33,SD0000700,IM0000499
application,Desktop Application,WBS000092,4,4,TEAM0008,13/09/2013 9:25,SD0000703,IM0000501
application,Server Based Application,WBS000014,5,5,TEAM0008,13/09/2013 15:25,SD0000707,IM0000506
application,Web Based Application,WBS000073,5,5,TEAM0008,16/09/2013 8:53,SD0000710,IM0000507
application,SAP,WBS000271,5,5,TEAM0035,16/09/2013 9:05,SD0000709,IM0000509
application,Standard Application,WBS000316,5,5,TEAM0008,16/09/2013 11:31,SD0000715,IM0000514
application,Server Based Application,WBS000072,5,5,TEAM0017,17/09/2013 10:00,SD0000736,IM0000526
application,Server Based Application,WBS000263,5,5,TEAM0015,17/09/2013 11:36,SD0000740,IM0000530
application,SAP,WBS000271,5,5,TEAM0047,17/09/2013 14:42,SD0000746,IM0000544
application,Server Based Application,WBS000043,3,3,TEAM0046,17/09/2013 16:29,SD0000761,IM0000553
application,Desktop Application,WBS000092,2,2,TEAM0107,18/09/2013 12:53,SD0000772,IM0000566
application,Server Based Application,WBS000296,4,4,TEAM0093,18/09/2013 14:07,SD0000782,IM0000564
application,Web Based Application,WBS000298,5,5,TEAM0003,18/09/2013 15:08,SD0000781,IM0000574
application,Server Based Application,WBS000043,3,3,TEAM0046,18/09/2013 16:31,SD0000785,IM0000579
subapplication,Web Based Application,WBS000073,4,4,TEAM0007,19/09/2013 10:33,SD0000795,IM0000588
application,Web Based Application,WBS000088,3,3,TEAM0003,19/09/2013 11:31,SD0000803,IM0000592
application,Web Based Application,WBS000088,4,4,TEAM0003,19/09/2013 13:43,SD0000811,IM0000595
